"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1091","test_hotel_list","test","Wed Nov 20 18:13:14 GMT 2024","passed","Wed Nov 20 18:13:15 GMT 2024","TestHootel","test_hootel","",""
"A belépés tesztelése","1333","Hootel Login","test","Wed Nov 20 18:13:10 GMT 2024","passed","Wed Nov 20 18:13:11 GMT 2024","TestHootel","test_hootel","",""
